"SUJETO","SEXO","EDAD","AÑOSDEESTUDIO","INGRESOS","LOCALIDADPROCEDENCIA","LOCALIDADDERESIDENCIA","BARRIO","EDADLLEGADAMÁLAGA","TIEMPORESIDENCIA","OCUPACIÓN","OCUPACIÓNPADRE","OCUPACIÓNMADRE","ESTUDIOSPADRE","ESTUDIOSMADRE","CLASEFAMILIA","LIBROSAÑO","PRENSALOCAL","PRENSANACIONAL","TVNOTICIAS","TVCORAZÓN","RADIO","BUSQUEDASENINTERNET","CHAT…","JUEGOS","BAJARDEINTERNET","TOTALHORASINTERNET","CASADO","ORIGENCÓNYUGE","NÚMERODEHIJOS","EDADHIJO1","EDADHIJO2","EDADHIJO3","EDADHIJO4","EDADHIJO5","EDADHIJO6","EDUCACIÓNHIJO1","EDUCACIÓNHIJO2","EDUCACIÓNHIJO3","EDUCACIÓNHIJO4","EDUCACIÓNHIJO5","EDUCACIONHIJO6","RESIDENCIAHIJO1","RESIDENCIAHIJO2","RESIDENCIAHIJO3","RESIDENCIAHIJO4","RESIDENCIAHIJO5","RESIDENCIAHIJO6","COMPAÑEROSDETRABAJO","AMIGOS","PARIENTES","VECINOS","MÁSDEUNARELACIÓN","SEXOSUJETO1","SEXOSUJETO2","SEXOSUJETO3","SEXOSUJETO4","SEXOSUJETO5","SEXOSUJETO6","SEXOSUJETO7","SEXOSUJETO8","SEXOSUJETO9","SEXOSUJETO10","SEXOSUJETO11","SEXOSUJETO12","SEXOSUJETO13","SEXOSUJETO14","EDADSUJETO1","EDADSUJETO2","EDADSUJETO3","EDADSUJETO4","EDADSUJETO5","EDADSUJETO6","EDADSUJETO7","EDADSUJETO8","EDADSUJETO9","EDADSUJETO10","EDADSUJETO11","EDADSUJETO12","EDADSUEJTO13","EDADSUJETO14","ORIGENSUJETO1","ORIGENSUJETO2","ORIGENSUJETO3","ORIGENSUJETO4","ORIGENSUJETO5","ORIGENSUJETO6","ORIGENSUJETO7","ORIGENSUJETO8","ORIGENSUJETO9","ORIGENSUJETO10","ORIGENSUJETO11","ORIGENSUJETO12","ORIGENSUJETO13","ORIGENSUJETO14","OCUPACIONSUJETO1","OCUPACIONSUJETO2","OCUPACIONSUJETO3","OCUPACIONSUJETO4","OCUPACIONSUJETO5","OCUPACIONSUJETO6","OCUPACIONSUJETO7","OCUPACIONSUJETO8","OCUPACIONSUJETO9","OCUPACIONSUJETO10","OCUPACIONSUJETO11","OCUPACIONSUJETO12","OCUPACIONSUJETO13","OCUPACIONSUJETO14","TIPODERELACIÓNSUJETO1","TIPODERELACIÓNSUJETO2","TIPODERELACIÓNSUJETO3","TIPODERELACIÓNSUJETO4","TIPODERELACIÓNSUJETO5","TIPODERELACIÓNSUJETO6","TIPODERELACIÓNSUJETO7","TIPODERELACIÓNSUJETO8","TIPODERELACIÓNSUJETO.","TIPODERELACIÓNSUJETO10","TIPODERELACIONSUJETO11","TIPODERELACIONSUJETO12","TIPODERELACION13","TIPODERELACIONSUJETO14","EDUCACIÓNSUJETO1","EDUCACIÓNSUJETO2","EDUCACIÓNSUJETO3","EDUCACIÓNSUJETO4","EDUCACIÓNSUJETO5","EDUCACIÓNSUJETO6","EDUCACIÓNSUJETO7","EDUCACIÓNSUJETO8","EDUCACIÓNSUJETO.","EDUCACIÓNSUJETO10","EDUCACIÓNSUJETO11","EDUCACIÓNSUJETO12","EDUCACIONSUJETO13","EDUCACIÓNSUJETO14","RESIDENCIASUJETO1","RESIDENCIASUJETO2","RESIDENCIASUJETO3","RESIDENCIASUJETO4","RESIDENCIASUJETO5","RESIDENCIASUJETO6","RESIDENCIASUJETO7","RESIDENCIASUJETO8","RESIDENCIASUJETO.","RESIDENCIASUJETO10","RESIDENCIASUJETO11","RESIDENCIASUJETO12","RESIDENCIASUJETO13","RESIDENCIASUJETO14","FRECUENCIAREUNIÓNSUJETO1","FRECUENCIAREUNIÓNSUJETO2","FRECUENCIAREUNIÓNSUJETO3","FRECUENCIAREUNIÓNSUJETO4","FRECUENCIAREUNIÓNSUJETO5","FRECUENCIAREUNIÓNSUJETO6","FRECUENCIAREUNIÓNSUJETO7","FRECUENCIAREUNIÓNSUJETO8","FRECUENCIAREUNIÓNSUJETO.","FRECUENCIAREUNIÓNSUJETO10","FRECUENCIAREUNIÓNSUJETO11","FRECUENCIAREUNIÓNSUJETO12","FRECUENCIAREUNIONSUJETO13","FRECUENCIAREUNIONSUJETO14","FAVORASUJETO1","FAVORASUJETO2","FAVORASUJETO3","FAVORASUJETO4","FAVORASUJETO5","FAVORASUJETO6","FAVORASUJETO7","FAVORASUJETO8","FAVORASUJETO.","FAVORASUJETO10","FAVORSUJETO11","FAVORSUJETO12","FAVORSUJETO13","FAVORSUJETO14","COMOVEASUJETO1","COMOVEASUJETO2","COMOVEASUJETO3","COMOVEASUJETO4","COMOVEASUJETO5","COMOVEASUJETO6","COMOVEASUJETO7","COMOVEASUJETO8","COMOVEASUJETO.","COMOVEASUJETO10","COMOVEASUJETO11","COMOVEASUJETO12","COMOVEASUJETO13","COMOVEASUJETO14","FAVORIMPORTANTEACOMPTRAB","FAVORIMPORTANTEAVECINOS","FAVORIMPORTANTEAMIGOS","FAVORIMPORTANTEAMÍNTIMOS","FAVORIMPORTANTEPARIENTES","FAVORIMPORTANTEMASUNARELAC","SATISFACCIONRED","PERSONASQUETRATASON","SECONOCENENTRESÍ","SETRATANENTRESÍ","DENSIDAD1","DENSIDAD2","DENSIDAD3","DENSIDAD4","DENSIDAD5","DENSIDAD6","DENSIDAD7","MULTIPLICIDAD1","MULTIPLICIDAD2","MULTIPLICIDAD3","MULTIPLICIDAD4","MULTIPLICIDAD5","MULTIPLICIDAD6","FUERZAVÍNCULOS1","FUERZAVÍNCULOS2","FUERZAVÍNCULOS3","FUERZAVÍNCULOS4","MODERNIDAD1","MODERNIDAD2","MODERNIDAD3","MODERNIDAD4","MODERNIDAD5","MODERNIDAD6","UTILIDADRED1","UTILIDADRED2","UTILIDADRED3","SOLUCIÓNDEPROBLEMAS1","SOLUCIÓNDEPROBLEMAS2","SOLUCIÓNDEPROBLEMAS3","SOLUCIÓNDEPROBLEMAS4","HACERLACAMA","FREGARPLATOS","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","TOTALdepalabras"
"037",0,24,2,3,1,1,"03","..",24,1,1,1,"06","06",1,0,2,0,4,3,2,"10","06","00","140","156",1,1,0,"..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,3,3,1,0,0,0,0,0,0,0,0,0,1,1,".",".",".",".",30,18,20,25,25,28,26,"28","25",80,"..","..","..","..",1,1,1,1,1,1,1,1,1,1,".",".",".",".",1,1,1,1,1,1,1,1,1,1,".",".",".",".",4,4,4,2,2,2,1,1,1,3,".",".",".",".",2,2,2,2,2,3,2,3,3,0,".",".",".",".",4,4,4,4,3,3,4,4,3,4,".",".",".",".",5,5,5,4,3,3,4,5,4,5,".",".",".",".",2,1,2,1,2,2,1,1,2,2,".",".",".",".",1,1,1,3,1,4,3,3,3,4,".",".",".",".",1,0,0,1,3,0,2,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,".",2,1,0,1,2,2,3,17,10,15,15,13,11,12,9,11,18,13,12,14,11,6,15,9,21,20,17,"269"
"038",0,36,17,4,1,1,"23","..",36,4,3,1,"15","12",2,4,3,3,4,3,4,"02","00","00","000","003",1,4,2,"05","03","..","..","..","..",0,0,".",".",".",".",1,1,".",".",".",".",1,2,3,2,1,1,0,0,0,0,1,1,1,0,".",".",".",".",".",26,36,52,70,42,68,61,"58","59","..","..","..","..","..",4,1,2,1,1,1,4,3,3,".",".",".",".",".",2,2,4,3,4,1,1,2,3,".",".",".",".",".",4,2,2,1,1,1,5,3,3,".",".",".",".",".",3,5,5,4,5,2,4,3,5,".",".",".",".",".",5,5,5,4,4,4,0,0,0,".",".",".",".",".",5,1,1,4,3,4,6,4,4,".",".",".",".",".",1,1,1,1,1,1,1,2,2,".",".",".",".",".",1,2,1,3,4,3,3,3,3,".",".",".",".",".",1,0,6,3,4,2,3,3,2,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,4,".",2,1,1,1,1,2,3,32,24,18,14,26,15,17,24,13,27,23,24,13,24,15,29,25,23,14,22,"422"
"039",1,70,8,4,1,1,"25","..",70,1,2,1,"08","08",2,2,4,4,4,3,4,"00","00","00","000","000",1,1,2,"42","36","..","..","..","..",5,5,".",".",".",".",1,1,".",".",".",".",0,6,4,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,".",71,70,70,60,67,68,66,"76","35",72,60,72,61,"..",1,1,4,1,2,1,1,1,4,1,1,3,4,".",3,3,1,2,2,1,2,1,4,3,1,1,3,".",2,2,2,2,2,2,1,1,1,3,3,3,1,".",4,4,3,2,2,2,2,2,5,3,5,2,4,".",3,3,0,3,5,4,4,4,4,0,0,0,4,".",4,4,4,2,3,2,4,4,5,1,1,1,4,".",1,1,1,1,1,1,1,1,1,1,1,1,1,".",1,1,2,2,2,1,3,4,3,2,2,2,3,".",0,2,10,4,9,0,3,6,2,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,".",".",2,1,1,1,1,2,2,16,20,14,14,19,6,12,16,7,19,10,10,8,14,10,15,6,9,15,13,"253"
"040",0,70,15,4,1,1,"25","..",70,3,2,1,"12","16",2,3,3,4,4,4,4,"00","00","00","000","000",1,1,2,"42","36","..","..","..","..",5,5,".",".",".",".",1,1,".",".",".",".",0,3,3,2,1,0,0,0,0,0,0,1,0,0,".",".",".",".",".",70,62,69,70,68,63,75,"74","66","..","..","..","..","..",1,1,1,1,1,4,1,1,1,".",".",".",".",".",3,2,4,2,3,4,4,2,3,".",".",".",".",".",5,2,2,2,1,1,1,3,3,".",".",".",".",".",5,3,5,2,4,5,4,3,4,".",".",".",".",".",0,2,5,5,4,4,3,0,0,".",".",".",".",".",4,2,1,3,1,1,1,3,1,".",".",".",".",".",1,1,1,1,1,1,1,1,1,".",".",".",".",".",3,3,2,2,3,3,4,3,2,".",".",".",".",".",1,0,0,0,5,1,3,6,2,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,".",2,1,1,1,1,2,2,18,13,13,13,16,16,13,12,9,17,18,14,13,24,13,19,11,6,10,15,"283"
"041",1,70,12,4,4,1,"25","31",39,1,4,1,"17","08",2,3,3,4,4,4,4,"00","00","00","000","000",1,1,6,"43","41","40","38","34","32",5,5,4,5,5,5,1,2,1,1,1,1,0,4,3,2,2,0,1,0,0,1,1,1,0,1,".",".",".",".",".",70,70,70,64,80,83,"..","60","58","..","..","..","..","..",1,2,2,1,1,3,1,1,4,".",".",".",".",".",4,1,2,1,1,1,1,4,1,".",".",".",".",".",5,5,2,2,1,1,1,3,3,".",".",".",".",".",4,1,1,1,1,1,2,5,3,".",".",".",".",".",0,0,5,5,3,3,5,0,0,".",".",".",".",".",5,5,3,4,4,3,3,2,2,".",".",".",".",".",1,1,1,1,1,1,1,1,1,".",".",".",".",".",2,2,2,2,1,4,2,3,3,".",".",".",".",".",0,0,0,5,3,0,3,6,3,3,1,1,1,1,1,1,0,".",".",1,1,1,0,1,1,0,0,1,0,0,1,1,0,".",".",2,1,2,1,2,2,3,24,20,17,21,28,21,18,16,11,18,11,10,11,17,13,15,12,15,19,17,"334"
"042",0,70,17,4,1,1,"25","..",70,4,2,1,"04","04",2,2,3,4,4,4,4,"00","00","00","000","000",1,4,6,"43","41","40","38","34","32",5,5,4,5,5,5,1,2,1,1,1,1,3,3,3,2,1,0,0,0,1,0,1,1,1,1,0,1,".",".",".",70,50,69,70,70,64,80,"83","62",60,58,".","..","..",1,1,1,2,2,2,1,3,1,1,4,".",".",".",4,2,2,1,2,1,1,1,1,4,1,".",".",".",5,4,4,2,2,2,1,1,1,3,3,".",".",".",4,5,5,1,1,1,1,1,2,5,3,".",".",".",0,5,4,0,5,5,3,3,5,0,0,".",".",".",5,0,1,5,4,4,4,3,2,2,2,".",".",".",1,2,1,1,1,1,1,1,1,1,1,".",".",".",2,4,2,2,2,2,4,4,2,3,3,".",".",".",0,0,0,5,3,0,3,8,3,3,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,".",2,1,2,1,2,2,3,19,13,14,16,21,8,10,10,12,17,15,12,10,19,18,15,15,13,13,16,"286"
"043",1,54,17,".",2,1,"16","22",31,3,2,1,"04","04",2,3,4,1,4,3,1,"00","03","00","000","003",1,2,3,"30","29","23","..","..","..",5,4,5,".",".",".",1,1,1,".",".",".",3,4,3,3,0,1,1,1,1,0,1,1,1,1,1,1,1,1,".",50,54,52,58,57,54,60,"80","70",80,60,52,56,"..",1,3,1,3,2,1,2,2,2,2,1,1,3,".",3,3,3,4,3,1,3,1,1,1,1,3,1,".",4,4,4,2,2,2,2,1,1,1,3,3,3,".",5,5,5,5,5,5,3,1,1,1,3,4,2,".",4,3,4,3,3,3,4,5,5,5,0,0,0,".",5,5,4,2,2,2,2,1,1,2,3,2,2,".",2,2,2,1,1,1,1,2,2,2,2,2,2,".",1,1,1,3,4,3,4,4,3,4,3,3,1,".",0,0,0,6,0,0,3,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,".",2,2,2,1,1,2,2,32,22,16,20,30,22,23,29,11,22,30,28,16,30,22,21,21,14,18,30,"457"
"045",0,69,17,4,1,1,"16","..",69,4,4,1,"17","16",".",4,4,1,4,4,4,"01","00","00","000","001",1,4,2,"38","37","..","..","..","..",3,5,".",".",".",".",2,1,".",".",".",".",4,4,3,2,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,71,71,73,51,73,67,71,"67","73",71,67,65,66,67,1,3,4,1,1,4,1,1,1,1,1,1,4,1,".",".",".",3,".",".",".",1,".",".",".",1,".",1,4,4,4,4,2,2,2,3,1,1,1,1,3,3,5,5,5,5,5,5,3,3,5,5,3,3,4,5,3,3,3,3,5,5,3,3,5,0,1,5,0,5,3,3,3,3,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,2,2,1,2,2,2,4,4,0,0,2,0,3,7,2,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,".",1,".",".",".",".",2,2,24,15,16,13,24,15,18,16,6,20,24,17,10,21,13,20,17,9,18,12,"328"
"046",1,60,12,4,4,1,"23","19",41,1,4,1,"15","12",2,3,4,1,4,4,4,"00","00","00","000","000",1,1,2,"38","37","..","..","..","..",3,5,".",".",".",".",1,2,".",".",".",".",0,4,4,4,4,1,1,0,0,1,1,0,0,1,0,1,0,".",".",55,63,60,74,67,64,65,"31","65",71,67,73,"..","..",1,4,4,1,4,4,4,4,4,1,1,1,".",".",2,1,4,4,1,1,4,4,3,4,4,4,".",".",2,2,2,2,1,1,1,1,5,5,5,5,".",".",3,2,5,5,3,3,5,5,4,5,5,5,".",".",3,2,2,5,3,5,5,5,0,0,0,0,".",".",4,4,3,1,4,1,1,1,6,6,2,2,".",".",1,1,1,1,1,1,1,1,1,1,1,1,".",".",3,3,2,2,4,4,2,4,3,3,3,3,".",".",0,0,0,2,0,4,3,8,2,2,1,1,0,0,1,0,0,".",".",1,1,1,1,1,1,0,0,1,0,0,1,1,0,".",".",1,".",".",".",".",2,2,24,18,16,18,27,17,13,16,10,17,15,16,10,18,10,17,13,4,17,14,"310"
"047",0,20,8,1,1,1,"36","..",20,".",2,1,"..","04",1,1,4,1,4,4,1,"07","07","00","000","014",2,".",".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",1,3,0,0,3,0,0,1,1,1,0,0,".",".",".",".",".",".",".",22,20,20,21,17,22,22,"..","..","..","..","..","..","..",1,1,1,1,1,1,1,".",".",".",".",".",".",".",".",1,".",".",".",".",1,".",".",".",".",".",".",".",4,2,5,5,2,5,2,".",".",".",".",".",".",".",2,2,2,2,2,2,3,".",".",".",".",".",".",".",3,3,3,3,3,1,5,".",".",".",".",".",".",".",5,5,5,5,5,2,4,".",".",".",".",".",".",".",2,1,1,2,1,2,2,".",".",".",".",".",".",".",4,3,4,4,4,4,4,".",".",".",".",".",".",".",0,0,1,1,0,1,2,2,2,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,".",".",".",1,2,1,2,2,2,13,20,15,8,25,11,8,16,3,26,19,12,7,31,14,21,14,18,14,16,"311"
"048",0,21,4,0,1,1,"36","..",21,".",".",".","..","04",".",1,0,0,1,3,0,"05","50","00","020","075",2,".",".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",3,0,1,0,0,1,0,1,1,1,".",".",".",".",".",".",".",".",".",26,"..",21,45,"..","..","..","..","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",".",".",1,".",".",".",".",".",".",".",".",".",".",".",".",".",4,4,4,1,".",".",".",".",".",".",".",".",".",".",1,1,1,2,".",".",".",".",".",".",".",".",".",".",4,3,4,5,".",".",".",".",".",".",".",".",".",".",6,6,6,1,".",".",".",".",".",".",".",".",".",".",2,2,2,2,".",".",".",".",".",".",".",".",".",".",4,4,4,3,".",".",".",".",".",".",".",".",".",".",0,0,0,1,0,0,1,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,".",".",1,1,2,2,2,3,2,14,11,6,13,8,6,9,7,4,11,6,8,5,14,10,10,9,11,14,3,"179"
"049",1,20,8,1,1,1,"35","..",20,1,1,1,"02","02",1,1,2,0,3,3,0,"00","28","00","028","056",2,".",".","..","..","..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",2,4,4,2,0,1,1,0,1,1,0,1,1,1,1,".",".",".",".",21,46,23,20,20,23,14,"51","53",48,"..","..","..","..",3,1,4,1,1,3,1,1,1,1,1,2,".",".",1,1,1,1,1,1,1,1,1,1,1,1,".",".",4,4,2,2,2,2,1,1,1,1,".",".",".",".",2,2,3,3,3,5,2,".",1,2,".",".",".",".",5,4,5,2,3,5,0,1,".",1,".",".",".",".",4,5,7,4,4,0,6,6,5,4,".",".",".",".",2,2,1,1,1,1,1,1,1,1,".",".",".",".",1,1,5,3,4,1,4,1,4,3,".",".",".",".",0,1,5,5,4,0,3,6,2,2,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,".",".",1,".",".",".",".",2,2,17,25,21,17,24,13,18,25,12,18,23,15,13,25,19,20,14,23,15,25,"382"
"050",1,34,10,2,1,1,"17","..",34,1,".",1,"..","08",1,2,1,1,2,3,2,"00","00","00","000","000",2,".",2,"10","05","..","..","..","..",1,0,".",".",".",".",1,1,".",".",".",".",3,5,3,2,0,1,1,1,1,1,1,1,0,1,1,".",".",".",".",36,31,39,38,33,32,33,"37","56",60,"..","..","..","..",".",".",".",".",".",".",".",".",".",".",".",".",".",".",1,1,1,1,2,3,3,1,1,1,2,2,".",".",4,4,4,4,2,2,2,2,1,1,".",".",".",".",2,2,2,2,5,5,5,2,2,2,".",".",".",".",3,5,3,4,4,4,4,3,4,4,".",".",".",".",3,2,3,2,2,2,2,2,2,2,".",".",".",".",1,1,1,1,1,1,1,1,1,1,".",".",".",".",1,3,1,1,3,3,3,3,3,3,".",".",".",".",1,0,0,4,2,0,2,6,2,2,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,".",".",1,0,0,0,1,0,3,1,2,1,1,1,1,2,2,14,8,13,11,14,12,12,17,5,13,11,12,9,17,14,16,9,9,15,14,"245"
"051",1,47,8,4,1,1,"18","..",47,2,2,1,"..","..",3,2,2,1,4,3,1,"20","05","00","000","025",1,2,3,"25","22","15","..","..","..",5,2,2,".",".",".",1,1,1,".",".",".",3,0,1,0,0,1,1,1,1,".",".",".",".",".",".",".",".",".",".",44,35,23,73,"..","..","..","..","..","..","..","..","..","..",1,1,5,1,".",".",".",".",".",".",".",".",".",".",".",".",".",1,".",".",".",".",".",".",".",".",".",".",4,4,4,1,".",".",".",".",".",".",".",".",".",".",2,2,2,0,".",".",".",".",".",".",".",".",".",".",5,5,5,2,".",".",".",".",".",".",".",".",".",".",6,6,6,3,".",".",".",".",".",".",".",".",".",".",2,2,2,1,".",".",".",".",".",".",".",".",".",".",1,1,1,2,".",".",".",".",".",".",".",".",".",".",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,".",0,0,1,1,1,2,".",1,1,2,2,2,2,2,15,18,14,9,18,10,15,14,9,15,14,13,7,15,14,14,10,6,14,11,"255"
"052",1,46,8,2,1,1,"03","..",46,2,4,1,"12","12",2,1,2,2,3,3,1,"01","00","00","000","000",1,2,2,"26","21","..","..","..","..",2,2,".",".",".",".",1,1,".",".",".",".",3,3,3,3,0,1,1,1,1,1,1,1,1,0,".",".",".",".",".",36,47,42,42,52,49,72,"46","75","..","..","..","..","..",1,1,1,1,1,1,1,1,2,".",".",".",".",".",".",".",".",".",1,1,1,".",".",".",".",".",".",".",4,4,4,2,2,2,1,1,1,3,3,3,".",".",2,2,2,2,1,1,3,3,1,".",".",".",".",".",4,4,4,2,2,2,3,4,4,".",".",".",".",".",6,6,6,6,4,3,3,0,3,".",".",".",".",".",2,2,2,1,1,1,2,2,2,".",".",".",".",".",1,2,2,1,2,2,1,1,2,".",".",".",".",".",0,0,0,3,0,0,3,7,".",3,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,3,3,2,2,2,1,2,3,2,21,19,19,21,27,20,20,20,8,23,20,22,10,24,17,16,14,12,21,16,"370"
"053",1,42,8,3,4,1,"32","23",19,1,3,1,"08","04",2,2,3,1,3,3,2,"..","..","..","…","…",1,4,2,"17","09","..","..","..","..",2,0,".",".",".",".",1,1,".",".",".",".",3,3,3,3,2,1,1,1,0,1,1,1,1,1,1,".",".",".",".",23,39,17,46,38,50,68,"45","48",46,"..","..","..","..",2,2,1,4,1,4,4,4,1,1,".",".",".",".",2,1,1,2,4,3,1,2,1,2,".",".",".",".",4,4,4,2,2,5,1,1,3,3,".",".",".",".",2,2,2,5,5,2,1,4,2,3,".",".",".",".",4,3,4,0,5,2,5,3,0,2,".",".",".",".",4,5,5,6,4,1,1,2,0,0,".",".",".",".",2,2,2,1,1,2,1,1,2,2,".",".",".",".",1,1,1,".",1,1,1,2,2,2,".",".",".",".",0,1,0,3,3,0,2,4,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,".",".",1,1,2,2,2,3,3,14,17,14,11,20,12,14,16,6,16,15,14,12,20,8,16,15,18,20,20,"298"
"055",1,51,8,2,4,1,"04","32",19,1,2,1,"01","01",1,2,3,1,4,1,4,"00","00","00","000","000",1,3,2,"31","30","..","..","..","..",2,2,".",".",".",".",1,1,".",".",".",".",4,4,4,4,4,1,1,1,0,1,1,1,1,1,0,1,1,".",".",17,19,28,17,55,55,38,"86","66",67,"..","..","..","..",".",".",".",".",".",".",".",5,4,".",".",3,".",".",".",".",".",".",1,2,1,1,1,2,".",1,".",".",4,4,4,4,2,2,2,2,5,5,5,5,".",".",2,2,2,2,1,2,1,1,1,1,".",0,".",".",4,4,3,4,2,2,3,3,5,5,".",5,".",".",6,6,6,6,4,4,3,3,0,0,".",0,".",".",2,2,2,2,1,1,2,1,1,1,".",1,".",".",4,4,1,1,3,4,4,4,2,2,".",1,".",".",0,0,0,0,2,2,3,8,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,3,1,1,1,2,1,2,2,2,24,21,14,17,23,16,17,18,9,15,12,18,11,26,17,21,18,15,19,21,"352"
"056",0,42,8,3,2,1,"..","3",39,1,1,1,"00","00",2,1,1,1,4,1,".","..","..","..","..","..",1,5,5,"..","..","..","23","..","..",".",".",".",2,".",".",".",".",".",1,".",".",0,5,5,3,0,1,1,1,0,0,0,1,1,0,1,0,0,".",".",29,42,43,45,39,72,69,"39","32","..",36,"..","..","..",2,2,2,1,2,2,2,2,2,".",1,".",".",".",1,1,1,1,1,1,1,1,1,".",1,".",".",".",2,2,2,2,2,1,1,1,1,1,2,3,".",".",2,2,4,2,2,0,0,1,2,0,2,".",".",".",0,2,3,3,2,5,5,3,3,3,0,0,".",".",6,3,3,3,3,3,3,6,3,6,6,5,".",".",1,1,1,1,1,1,1,1,1,1,1,2,".",".",2,2,2,2,2,2,2,2,2,".",2,3,".",".",".",".",".",".",".",".",3,6,2,2,1,0,1,1,1,1,0,9,9,1,0,0,1,0,0,0,1,1,0,0,1,0,0,".",1,".",".",".",".",".",2,2,11,15,9,11,16,9,10,11,6,10,10,9,6,12,11,12,9,8,12,7,"204"
"058",1,50,4,".",1,1,"27","..",50,1,1,1,"00","00",2,1,2,2,4,4,3,"..","..","..","…","…",1,2,2,"19","17","..","..","..","..",2,2,".",".",".",".",1,1,".",".",".",".",0,3,3,3,0,1,1,1,1,1,0,0,1,1,".",".",".",".",".",46,60,"..","..",47,62,33,"48","48","..","..","..","..","..",1,1,".",".",1,1,1,1,1,".",".",".",".",".",1,1,".",".",1,1,2,1,".",".",".",".",".",".",2,1,3,2,2,1,1,3,3,".",".",".",".",".",2,1,3,3,2,1,2,5,2,".",".",".",".",".",3,3,0,3,3,3,3,0,0,".",".",".",".",".",3,5,4,3,6,4,2,2,1,".",".",".",".",".",1,1,1,1,1,1,1,1,2,".",".",".",".",".",2,2,2,2,2,2,2,2,2,".",".",".",".",".",".",".",".",".",".",".",3,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,3,1,1,1,2,1,2,3,2,14,10,9,11,12,12,7,13,5,14,9,9,6,14,13,16,4,7,13,9,"207"
"059",0,41,8,4,1,1,"39","..",41,1,1,1,"..","..",2,1,2,2,3,4,2,"..","..","..","…","…",1,".",2,"18","16","..","..","..","..",2,1,".",".",".",".",1,1,".",".",".",".",1,5,2,2,0,0,0,1,1,0,1,1,1,1,1,".",".",".",".",52,48,47,50,50,41,42,"58","48",35,"..","..","..","..",5,4,4,1,1,1,1,1,3,1,".",".",".",".",4,2,1,1,2,4,1,1,1,1,".",".",".",".",1,2,2,2,2,2,1,1,2,2,".",".",".",".",5,3,2,3,2,5,2,3,2,2,".",".",".",".",0,4,4,3,3,3,4,4,1,1,".",".",".",".",6,3,3,4,2,1,4,2,6,4,".",".",".",".",1,1,1,1,1,1,1,1,1,2,".",".",".",".",2,2,2,2,2,2,3,2,1,3,".",".",".",".",1,1,".",".",2,3,2,2,2,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,3,1,2,1,1,1,2,2,2,25,16,11,14,16,14,10,14,4,17,12,10,8,22,12,18,7,7,17,14,"268"
